iter	Passed	Remaining
0	1	131
1	2	120
2	3	113
3	4	102
4	5	106
5	6	107
6	7	105
7	8	101
8	10	101
9	11	100
10	12	101
11	13	100
12	14	98
13	15	96
14	16	95
15	17	93
16	18	91
17	20	91
18	21	90
19	22	89
20	23	87
21	24	86
22	25	85
23	26	85
24	27	83
25	29	82
26	29	80
27	31	79
28	32	79
29	33	78
30	35	78
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	42	71
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	53
51	57	52
52	58	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	93	12
88	94	11
89	95	10
90	97	9
91	98	8
92	99	7
93	100	6
94	102	5
95	102	4
96	103	3
97	104	2
98	106	1
99	107	0
